anfitriao_id,anf_data_cadastro,id_anuncio,nome_anuncio,bairro,tipo_propriedade,tipo_acomodacao,numero_hospedes,quartos,camas,preco,min_noites,max_noites,disponivel,numero_avaliaçoes,pontuacao_avaliacoes,confirmacao_instantanea
35584421,2015-06-11,6799395,Sunny Ipanema,Ipanema,Entire rental unit,Entire home/apt,7,2.0,6.0,486.0,2,90,t,118,4.85,f
17083312,2014-06-21,6828630,"Estúdio Loft, Vista lateral para  Praia e  Cristo!",Copacabana,Entire loft,Entire home/apt,4,1.0,2.0,225.0,3,30,t,141,4.94,f
6278841,2013-05-07,6834721,2 bed apartment - Olimpics 2016!,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,3,2.0,2.0,1000.0,30,30,t,0,,f
35376374,2015-06-09,6835820,Copacabana Studio Perfeito!,Copacabana,Entire rental unit,Entire home/apt,3,1.0,2.0,240.0,2,28,t,79,4.82,f
35858223,2015-06-15,6843088,House facing Copacabana beach,Copacabana,Entire rental unit,Entire home/apt,3,1.0,0.0,203.0,2,1125,t,65,4.77,f
35879856,2015-06-15,6847304,Villa Del Sol Vista Mar - 3o Andar,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,4,1.0,3.0,129080.0,1,1125,t,0,,f
8156211,2013-08-14,6851867,Quarto e sala em Copa,Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,190.0,5,1125,t,1,4.0,f
35913462,2015-06-15,6853760,Lakxmi House - Best spot in Barra da Tijuca,Barra da Tijuca,Entire rental unit,Entire home/apt,3,2.0,2.0,2705.0,6,1125,t,2,5.0,f
31032702,2015-04-11,6862473,Best of Rio,Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,406.0,5,10,t,10,4.8,f
122711622,2017-03-26,6863623,Ótima Localização em Copacabana!,Copacabana,Entire rental unit,Entire home/apt,6,2.0,2.0,1032.0,5,45,t,2,5.0,t
4438776,2012-12-18,6877903,Apartameto copacabana  perfeito para 2 pessoas,Copacabana,Entire loft,Entire home/apt,2,,1.0,250.0,3,1125,t,1,0.0,f
36052219,2015-06-17,6880277,ALUGO QUARTO LINDO E AMPLO EM COPA,Copacabana,Private room in rental unit,Private room,2,1.0,1.0,207.0,1,1125,t,0,,f
36058571,2015-06-17,6881900,Copacabana - Conforto e segurança  2 quadras praia,Copacabana,Entire rental unit,Entire home/apt,6,2.0,5.0,500.0,2,60,t,19,4.74,f
5737780,2013-04-02,6900763,Praticamente na Praia!,Copacabana,Entire rental unit,Entire home/apt,4,1.0,2.0,170.0,3,20,t,17,4.82,f
36166628,2015-06-18,6901513,SUPER COZY FLAT ONE BLOCK FROM The BEACH,Copacabana,Entire rental unit,Entire home/apt,3,1.0,1.0,164.0,1,1125,t,355,4.81,f
36216533,2015-06-19,6911391,Apartamento Studio Praia Copacabana,Copacabana,Entire rental unit,Entire home/apt,2,,1.0,191.0,1,1125,t,3,4.5,f
32368346,2015-05-01,6922924,QUARTO PEQUENO/PARA JOVENS,Copacabana,Private room in rental unit,Private room,2,1.0,2.0,120.0,2,15,t,15,4.53,f
20578307,2014-08-26,6923695,Modern Beach View Apartment,Barra da Tijuca,Entire rental unit,Entire home/apt,6,3.0,3.0,1000.0,4,60,t,5,4.25,f
36289458,2015-06-20,6923853,Apartamento temporada Copacabana,Copacabana,Entire rental unit,Entire home/apt,4,1.0,4.0,160.0,3,90,t,0,,f
36336811,2015-06-21,6931316,Single room/Beach block in Ipanema/Late check out,Ipanema,Private room in rental unit,Private room,1,1.0,1.0,90.0,3,300,t,73,4.99,f
22296412,2014-10-08,6931497,GREAT LOCATION - COPACABANA - NEAR BEACH & SUBWAY,Copacabana,Entire rental unit,Entire home/apt,3,1.0,3.0,135.0,20,50,t,79,4.95,f
35879856,2015-06-15,6932221,Villa Del Sol Vista Mar - 2o Andar,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,4,1.0,3.0,129080.0,3,30,t,0,,f
36336811,2015-06-21,6933471,Quarto de casal na quadra da praia de Ipanema,Ipanema,Private room in rental unit,Private room,2,1.0,1.0,90.0,3,100,t,32,5.0,f
11861303,2014-02-02,6948080,Apartamento novo por temporada.,Jacarepaguá,Entire rental unit,Entire home/apt,4,2.0,2.0,415.0,1,1125,t,5,4.6,f
36518818,2015-06-23,6964919,"Room with balcony, Metro and Copacabana Beach",Copacabana,Private room in rental unit,Private room,2,1.0,2.0,74.0,1,1125,t,50,4.52,f
36587664,2015-06-24,6977370,One bedroom penthouse,Ipanema,Entire rental unit,Entire home/apt,2,1.0,1.0,606.0,5,30,t,1,5.0,f
