anfitriao_id,anfitriao_nome,anf_data_cadastro,anf_tempo_resposta,anf_taxa_resposta,anf_taxa_aceitacao,super_anfitriao,anf_bairro,anf_num_total_anuncios,anf_foto_perfil,anf_identidade_verificada
2039483,Paulo Cesar,2012-03-30,,,100%,f,,3.0,t,f
1989397,Dominique,2012-03-22,within an hour,100%,0%,f,Botafogo,3.0,t,t
2093718,Elisa,2012-04-08,within a few hours,100%,62%,t,Humaitá,1.0,t,t
2112725,Monica,2012-04-10,within an hour,100%,100%,t,Copacabana,4.0,t,t
2131352,Denise,2012-04-13,within a few hours,100%,33%,f,Ipanema,2.0,t,t
2155937,André,2012-04-16,,,100%,f,Ipanema,1.0,t,t
2104261,Djordje,2012-04-09,a few days or more,0%,0%,f,Copacabana,4.0,t,t
2169494,Elen Salles,2012-04-18,,,,f,Flamengo,1.0,t,t
4307081,Nereu A,2012-12-02,within an hour,100%,24%,t,Ipanema,58.0,t,t
1273774,Elisa,2011-10-10,within a day,100%,0%,f,Humaitá,2.0,t,t
1693952,Katia,2012-02-03,within an hour,100%,89%,f,Glória,4.0,t,t
2206207,Guacira,2012-04-23,a few days or more,0%,,f,Botafogo,1.0,t,t
2206934,Delma,2012-04-23,within an hour,100%,100%,t,Copacabana,3.0,t,t
2212269,Jobar,2012-04-24,a few days or more,0%,0%,f,Copacabana,1.0,t,t
1726378,Maria,2012-02-09,a few days or more,0%,,f,Humaitá,2.0,t,f
2206708,Lilian E Cadu,2012-04-23,,,,f,Copacabana,3.0,t,t
2248256,Leni,2012-04-29,,,,f,Copacabana,1.0,t,f
2248279,Kaza Rio,2012-04-29,,,100%,f,Estacio,6.0,t,t
302928,Ingrid E Diogo,2010-11-28,within a day,100%,0%,f,Ipanema,1.0,t,f
2278812,Nilzete,2012-05-02,a few days or more,0%,0%,f,Ipanema,13.0,t,f
2300508,Luana,2012-05-05,a few days or more,0%,0%,f,Copacabana,2.0,t,t
2306760,Gustavo E Patrícia,2012-05-06,within a few hours,100%,50%,f,Laranjeiras,2.0,t,t
2311421,Mario,2012-05-07,,,100%,f,Humaitá,1.0,t,f
2308396,Inês,2012-05-06,within a few hours,100%,100%,f,Copacabana,2.0,t,t
2346349,Martin,2012-05-11,,,,f,Copacabana,1.0,t,f
1430897,Flavia & Nando,2011-11-21,within a day,64%,42%,f,Ipanema,3.0,t,t
2394237,Leonor,2012-05-16,within a day,80%,0%,f,Barra da Tijuca,1.0,t,t
2385085,Celia,2012-05-16,within an hour,100%,97%,t,Copacabana,2.0,t,t
2397409,Regina,2012-05-17,within an hour,60%,0%,f,Barra da Tijuca,1.0,t,f
1450861,Leila,2011-11-28,within an hour,100%,97%,f,Ipanema,6.0,t,t
2415244,Isaura,2012-05-19,within a few hours,100%,,f,Leblon,3.0,t,t
2423945,Renata,2012-05-20,within an hour,100%,100%,t,Leblon,1.0,t,t
1537641,Gilles,2011-12-26,within a few hours,95%,94%,t,Copacabana,7.0,t,t
2438532,Betty,2012-05-22,within an hour,100%,96%,f,Copacabana,2.0,t,t
2444956,Jeanne,2012-05-23,within an hour,96%,100%,t,Vidigal,3.0,t,t
2450658,Mirella,2012-05-23,,,,f,Tijuca,1.0,t,t
2454022,Thiago,2012-05-24,within a few hours,100%,,f,,3.0,t,f
2001083,Cristiane,2012-03-24,,,,f,Flamengo,1.0,t,t
2479834,Pedro,2012-05-28,within a day,65%,8%,f,Copacabana,2.0,t,t
2487942,Aline,2012-05-28,a few days or more,13%,42%,f,Barra da Tijuca,5.0,t,f
144943,Marco,2010-06-15,,,,f,Copacabana,1.0,t,t
2502969,Portão Vermelho,2012-05-30,within a few hours,80%,100%,t,Cosme Velho,4.0,t,t
592995,Paulo Roberto,2011-05-16,,,,f,Santa Teresa,2.0,t,t
3146837,Solon,2012-08-03,within a few hours,80%,100%,f,Barra da Tijuca,1.0,t,t
2512454,Roberto,2012-05-31,within an hour,100%,98%,f,Ipanema,4.0,t,t
1167383,Eduardo,2011-09-16,,,,f,Copacabana,3.0,t,f
2513249,Elizabeth,2012-05-31,within a day,80%,100%,f,Leme,2.0,t,f
2528930,Ana Paula Sciammarella,2012-06-02,within an hour,100%,94%,t,Lapa,3.0,t,t
